# h_0	g	delta_effc	 omega
5.5	22	2.5694047e+00	5.2756352e-03
5.5	23	2.4117606e+00	4.8509922e-03
5.5	24	2.2215180e+00	4.3893466e-03
5.5	25	2.0076830e+00	3.9067477e-03
5.5	26	1.7806831e+00	3.4205713e-03
5.5	27	1.5511216e+00	2.9475921e-03
5.5	28	1.3285501e+00	2.5021779e-03
5.5	29	1.1205458e+00	2.0950255e-03
5.5	30	9.3225745e-01	1.7326542e-03
7.0	0	-1.0792141e+00	2.7819432e-03
7.0	1	-7.5963071e-01	2.2360173e-03
7.0	2	-4.5111448e-01	1.8622118e-03
7.0	3	-1.5290661e-01	1.6126883e-03
7.0	4	1.3598877e-01	1.4524415e-03
7.0	5	4.1663055e-01	1.3563942e-03
7.0	6	6.9001991e-01	1.3066397e-03
7.0	7	9.5702148e-01	1.2902005e-03
7.0	8	1.2183148e+00	1.2974042e-03
7.0	9	1.4743652e+00	1.3208149e-03
7.0	10	1.7254051e+00	1.3545819e-03
7.0	11	1.9714177e+00	1.3940622e-03
7.0	12	2.2121190e+00	1.4355951e-03
7.0	13	2.4469328e+00	1.4763460e-03
7.0	14	2.6749568e+00	1.5141713e-03
7.0	15	2.8949186e+00	1.5474846e-03
7.0	16	3.1051215e+00	1.5751217e-03
7.0	17	3.3033823e+00	1.5962092e-03
7.0	18	3.4869655e+00	1.6100446e-03
7.0	19	3.6525252e+00	1.6159943e-03
7.0	20	3.7960674e+00	1.6134144e-03
7.0	21	3.9129606e+00	1.6016023e-03
7.0	22	3.9980232e+00	1.5797824e-03
7.0	23	4.0457328e+00	1.5471350e-03
7.0	24	4.0505956e+00	1.5028750e-03
7.0	25	4.0077061e+00	1.4463833e-03
7.0	26	3.9134885e+00	1.3773856e-03
7.0	27	3.7665472e+00	1.2961567e-03
7.0	28	3.5684728e+00	1.2037079e-03
7.0	29	3.3243767e+00	1.1018997e-03
7.0	30	3.0429198e+00	9.9342078e-04
8.5	0	-1.0934611e+00	6.1911725e-04
8.5	1	-7.6873114e-01	4.9728066e-04
8.5	2	-4.5618765e-01	4.1397424e-04
8.5	3	-1.5457374e-01	3.5843351e-04
8.5	4	1.3747019e-01	3.2281558e-04
8.5	5	4.2129197e-01	3.0151976e-04
8.5	6	6.9814737e-01	2.9055780e-04
8.5	7	9.6915085e-01	2.8704745e-04
8.5	8	1.2352506e+00	2.8884774e-04
8.5	9	1.4972208e+00	2.9431975e-04
8.5	10	1.7556634e+00	3.0218156e-04
8.5	11	2.0110156e+00	3.1142476e-04
8.5	12	2.2635564e+00	3.2126537e-04
8.5	13	2.5134119e+00	3.3111051e-04
8.5	14	2.7605551e+00	3.4053016e-04
8.5	15	3.0048004e+00	3.4922946e-04
8.5	16	3.2457904e+00	3.5702093e-04
8.5	17	3.4829745e+00	3.6379750e-04
8.5	18	3.7155780e+00	3.6950758e-04
8.5	19	3.9425615e+00	3.7413324e-04
8.5	20	4.1625680e+00	3.7767170e-04
8.5	21	4.3738597e+00	3.8012022e-04
8.5	22	4.5742433e+00	3.8146388e-04
8.5	23	4.7609879e+00	3.8166590e-04
8.5	24	4.9307409e+00	3.8066023e-04
8.5	25	5.0794538e+00	3.7834634e-04
8.5	26	5.2023364e+00	3.7458663e-04
8.5	27	5.2938674e+00	3.6920741e-04
