# h_0	g	iX	iY	
8.5	20	-3.401896074409937366e-19	1.465381544193650082e-18
8.5	21	1.961940064077837198e-19	-9.484644358782253615e-19
8.5	22	-7.739763555536142867e-20	8.300220902364669851e-20
8.5	23	-9.386713242352000826e-19	3.837303859045294955e-18
8.5	24	-7.019785550368598502e-19	3.249501096503410483e-18
8.5	25	-2.290430028934828140e-19	3.065885123415042505e-20
8.5	26	8.189749808765611034e-20	-6.574804044531840622e-19
8.5	27	-2.497423705419883285e-20	2.944500381868452742e-19
8.5	28	6.425803696110089137e-19	-2.723668121739197185e-18
8.5	29	1.916941438754880029e-19	4.072154284094554919e-19
8.5	30	1.019218863563358321e-19	4.968467995003292634e-19
10.0	0	6.716971271729974069e-17	-3.019381530264296791e-17
10.0	1	7.896041134309335717e-17	-4.847874390727922212e-17
10.0	2	3.354250471127132573e-18	-2.615391890799585742e-18
10.0	3	8.990407702164083310e-17	-8.292976960946133407e-17
10.0	4	-8.031566405859135026e-17	8.582139728223667477e-17
10.0	5	3.806566064962394817e-17	-4.615207851086878848e-17
10.0	6	4.767101427150052068e-17	-6.438437177707876947e-17
10.0	7	4.656140111060103572e-17	-6.913603260438858283e-17
10.0	8	1.014745470810835771e-17	-1.646837811184316696e-17
10.0	9	2.118429401083980131e-17	-3.713630738447922478e-17
10.0	10	2.175180608550308530e-17	-4.102151018857977380e-17
10.0	11	1.685595565037001534e-17	-3.398259866191800996e-17
10.0	12	1.185846126156599486e-17	-2.528150346370643230e-17
10.0	13	7.718587731857942631e-18	-1.760530984258195391e-17
10.0	14	1.196434037997640932e-17	-2.866982238517534216e-17
10.0	15	1.624185676360341227e-18	-4.049961040505013618e-18
10.0	16	1.276902167986029554e-18	-3.338712301287604542e-18
10.0	17	-5.891114148148970374e-18	1.635112186407962429e-17
10.0	18	3.072612016166582246e-18	-8.874095545691914005e-18
10.0	19	2.203344454046298774e-18	-6.597770704015975571e-18
10.0	20	9.799112408551179943e-19	-3.310451032086944541e-18
10.0	21	-1.988409843677988621e-18	6.639104775723463717e-18
10.0	22	-1.202786785100407754e-18	4.202855063659525646e-18
10.0	23	4.865145490793489946e-19	-1.868359913559897522e-18
10.0	24	4.196783555850356621e-19	-1.540591824827572663e-18
10.0	25	1.030997915486237898e-19	-4.875507571471841652e-19
10.0	26	5.466009487753707919e-19	-1.973689558165552848e-18
10.0	27	2.677418206712982351e-19	-1.152899447283274635e-18
10.0	28	-4.059802446406823969e-19	1.719075214229817073e-18
10.0	29	2.736313466326961589e-19	-9.563251591638585937e-19
10.0	30	1.408523147055647007e-19	-3.805287066130137246e-19
11.5	0	1.163937618978726690e-16	-6.080919754039267858e-17
11.5	1	-5.447099477195307600e-17	3.617854741987248243e-17
11.5	2	2.013926711216599772e-17	-1.611129231757117608e-17
11.5	3	-4.796408767115510573e-17	4.467165099580008005e-17
11.5	4	2.259396859331448829e-17	-2.393953864092092735e-17
11.5	5	3.584886954757246241e-17	-4.244737218712298298e-17
11.5	6	-2.910087569410192757e-18	3.808640580568416682e-18
11.5	7	8.749744466022361412e-18	-1.244141298905661695e-17
11.5	8	2.370442878718236040e-17	-3.649970808765711671e-17
11.5	9	-1.152711256049638249e-17	1.906523137095647691e-17
11.5	10	-4.646399232161512387e-18	8.214434485170947344e-18
11.5	11	-1.944522949099430594e-18	3.672704349658631988e-18
11.5	12	6.999430289863222473e-18	-1.398318159446091981e-17
11.5	13	7.932119443912783187e-18	-1.666053885870941232e-17
11.5	14	1.901906603941926196e-18	-4.197097534972779532e-18
11.5	15	2.588942968394864794e-18	-6.030650071087439686e-18
11.5	16	-1.464175858667097477e-18	3.547432945933411200e-18
11.5	17	1.870553150004508177e-18	-4.743591526624625859e-18
11.5	18	3.066246034176236020e-18	-8.120941277234864955e-18
11.5	19	2.101290218794202836e-18	-5.810467035936415193e-18
11.5	20	1.195692884169223363e-18	-3.447537967678574406e-18
11.5	21	9.125985913287466083e-19	-2.758999142945283240e-18
11.5	22	-6.584986333180580134e-19	2.092740495396047435e-18
11.5	23	1.039914922491538285e-18	-3.278813542436313438e-18
11.5	24	1.435523976615624799e-18	-4.784389747136512467e-18
11.5	25	2.679502701857568835e-19	-8.890010614156637017e-19
11.5	26	4.826681592317609805e-19	-1.648647648483015855e-18
11.5	27	1.756972980095025955e-19	-6.609498304025957465e-19
11.5	28	3.517750991004597229e-20	-6.829124455437110634e-20
11.5	29	3.095392570235893985e-20	-1.547241381848499813e-19
11.5	30	-1.076252966797443687e-19	4.445398838716976895e-19
