# g=10	h=7	tend=25000	tinterval=2.0000
# X		index
1000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.818	0.061	0.060	0.000	0.055	0.003	0.003	0.000
0.675	0.114	0.105	0.000	0.087	0.009	0.010	0.000
0.569	0.154	0.144	0.000	0.103	0.014	0.016	0.000
0.483	0.185	0.173	0.001	0.116	0.019	0.023	0.000
0.393	0.217	0.204	0.002	0.125	0.029	0.030	0.000
0.325	0.249	0.230	0.002	0.116	0.035	0.043	0.000
0.274	0.268	0.247	0.003	0.118	0.042	0.048	0.000
0.245	0.274	0.258	0.004	0.104	0.054	0.060	0.001
0.219	0.278	0.272	0.009	0.102	0.056	0.063	0.001
0.188	0.286	0.281	0.010	0.100	0.064	0.070	0.001
0.159	0.297	0.292	0.010	0.100	0.068	0.073	0.001
0.137	0.307	0.299	0.010	0.096	0.070	0.080	0.001
0.115	0.314	0.305	0.014	0.083	0.077	0.091	0.001
0.100	0.319	0.314	0.016	0.068	0.081	0.101	0.001
0.091	0.321	0.319	0.017	0.059	0.086	0.105	0.002
0.083	0.321	0.320	0.018	0.054	0.092	0.109	0.003
0.071	0.333	0.321	0.019	0.041	0.096	0.116	0.003
0.056	0.336	0.326	0.022	0.040	0.096	0.118	0.006
0.051	0.337	0.328	0.023	0.039	0.097	0.119	0.006
0.047	0.338	0.329	0.023	0.034	0.099	0.123	0.007
0.039	0.340	0.332	0.024	0.029	0.102	0.127	0.007
0.038	0.340	0.330	0.025	0.026	0.102	0.132	0.007
0.031	0.340	0.335	0.027	0.026	0.103	0.131	0.007
0.029	0.339	0.339	0.028	0.022	0.104	0.131	0.008
0.028	0.335	0.343	0.029	0.021	0.104	0.130	0.010
0.022	0.336	0.347	0.030	0.020	0.103	0.130	0.012
0.022	0.336	0.348	0.030	0.019	0.102	0.131	0.012
0.023	0.336	0.348	0.030	0.015	0.104	0.132	0.012
0.023	0.335	0.348	0.032	0.013	0.105	0.132	0.012
0.017	0.336	0.349	0.035	0.013	0.105	0.131	0.014
0.013	0.335	0.345	0.038	0.015	0.107	0.133	0.014
0.012	0.332	0.345	0.041	0.012	0.109	0.134	0.015
0.010	0.331	0.343	0.044	0.012	0.110	0.134	0.016
0.009	0.331	0.341	0.045	0.013	0.110	0.135	0.016
0.009	0.329	0.342	0.045	0.010	0.113	0.136	0.016
0.009	0.330	0.339	0.047	0.007	0.116	0.136	0.016
0.009	0.328	0.336	0.051	0.007	0.116	0.137	0.016
0.006	0.327	0.339	0.052	0.006	0.117	0.136	0.017
0.005	0.327	0.338	0.053	0.005	0.117	0.138	0.017
0.005	0.328	0.337	0.053	0.004	0.117	0.139	0.017
0.009	0.326	0.333	0.054	0.003	0.117	0.139	0.019
0.009	0.325	0.330	0.055	0.004	0.117	0.140	0.020
0.006	0.327	0.331	0.056	0.004	0.116	0.140	0.020
0.004	0.325	0.331	0.057	0.004	0.118	0.141	0.020
0.007	0.322	0.328	0.058	0.005	0.119	0.141	0.020
0.007	0.320	0.327	0.060	0.005	0.120	0.141	0.020
0.006	0.319	0.326	0.061	0.006	0.123	0.139	0.020
0.006	0.318	0.324	0.063	0.006	0.123	0.137	0.023
0.007	0.315	0.324	0.062	0.007	0.124	0.137	0.024
0.009	0.315	0.320	0.063	0.006	0.123	0.140	0.024
0.011	0.312	0.320	0.064	0.005	0.124	0.140	0.024
0.012	0.309	0.317	0.065	0.004	0.126	0.143	0.024
0.009	0.311	0.317	0.065	0.005	0.125	0.144	0.024
0.007	0.310	0.315	0.068	0.008	0.125	0.141	0.026
0.006	0.310	0.315	0.071	0.006	0.125	0.141	0.026
0.006	0.309	0.313	0.073	0.006	0.125	0.142	0.026
0.005	0.308	0.311	0.074	0.005	0.126	0.144	0.027
0.007	0.303	0.311	0.075	0.005	0.128	0.144	0.027
0.008	0.302	0.307	0.076	0.005	0.127	0.148	0.027
0.008	0.303	0.305	0.077	0.005	0.127	0.148	0.027
0.009	0.304	0.303	0.077	0.003	0.126	0.150	0.028
0.008	0.302	0.302	0.081	0.004	0.127	0.148	0.028
0.009	0.300	0.299	0.083	0.004	0.127	0.150	0.028
0.009	0.298	0.298	0.085	0.002	0.127	0.153	0.028
0.014	0.295	0.296	0.085	0.004	0.126	0.151	0.029
0.014	0.292	0.294	0.088	0.006	0.126	0.151	0.029
0.012	0.291	0.295	0.088	0.003	0.128	0.154	0.029
0.013	0.287	0.294	0.089	0.004	0.130	0.154	0.029
0.014	0.285	0.295	0.089	0.003	0.131	0.154	0.029
0.012	0.283	0.294	0.090	0.004	0.134	0.154	0.029
0.010	0.283	0.294	0.090	0.006	0.134	0.154	0.029
0.010	0.282	0.290	0.092	0.006	0.136	0.155	0.029
0.010	0.282	0.290	0.093	0.003	0.136	0.156	0.030
0.008	0.282	0.290	0.094	0.004	0.135	0.156	0.031
0.008	0.281	0.290	0.094	0.005	0.135	0.156	0.031
0.009	0.281	0.289	0.094	0.005	0.134	0.156	0.032
0.008	0.282	0.287	0.095	0.005	0.134	0.157	0.032
0.009	0.279	0.287	0.096	0.005	0.133	0.159	0.032
0.005	0.280	0.286	0.097	0.005	0.135	0.160	0.032
0.007	0.278	0.286	0.097	0.004	0.134	0.161	0.033
0.007	0.278	0.284	0.099	0.006	0.133	0.158	0.035
0.006	0.276	0.281	0.101	0.007	0.135	0.158	0.036
0.006	0.274	0.282	0.102	0.009	0.133	0.158	0.036
0.005	0.275	0.281	0.102	0.010	0.131	0.159	0.037
0.005	0.275	0.278	0.103	0.009	0.132	0.160	0.038
0.007	0.274	0.277	0.104	0.008	0.132	0.160	0.038
0.006	0.275	0.276	0.105	0.010	0.131	0.159	0.038
0.004	0.274	0.277	0.106	0.009	0.133	0.159	0.038
0.005	0.272	0.275	0.107	0.008	0.134	0.161	0.038
0.005	0.270	0.272	0.110	0.009	0.133	0.162	0.039
0.006	0.269	0.270	0.111	0.007	0.134	0.164	0.039
0.007	0.266	0.267	0.113	0.007	0.136	0.165	0.039
0.006	0.265	0.265	0.114	0.006	0.139	0.165	0.040
0.007	0.264	0.264	0.115	0.006	0.138	0.164	0.042
0.007	0.262	0.265	0.115	0.006	0.139	0.164	0.042
0.007	0.260	0.265	0.117	0.004	0.140	0.165	0.042
0.010	0.255	0.262	0.118	0.003	0.142	0.168	0.042
0.010	0.254	0.261	0.120	0.005	0.141	0.166	0.043
0.012	0.254	0.258	0.121	0.008	0.140	0.164	0.043
0.011	0.254	0.259	0.122	0.007	0.139	0.164	0.044
0.012	0.254	0.258	0.123	0.006	0.139	0.164	0.044
0.012	0.254	0.257	0.123	0.007	0.139	0.164	0.044
0.010	0.253	0.256	0.125	0.007	0.140	0.164	0.045
0.008	0.255	0.259	0.125	0.007	0.138	0.163	0.045
0.009	0.254	0.257	0.127	0.008	0.137	0.163	0.045
0.009	0.255	0.256	0.127	0.008	0.134	0.164	0.047
0.009	0.256	0.254	0.128	0.004	0.135	0.166	0.048
0.007	0.254	0.254	0.130	0.005	0.136	0.166	0.048
0.006	0.250	0.254	0.132	0.006	0.137	0.166	0.049
0.005	0.251	0.254	0.133	0.005	0.139	0.163	0.050
0.004	0.247	0.256	0.133	0.007	0.140	0.161	0.052
0.002	0.246	0.256	0.134	0.006	0.141	0.163	0.052
0.002	0.244	0.254	0.136	0.006	0.142	0.163	0.053
0.000	0.244	0.253	0.139	0.006	0.141	0.164	0.053
0.001	0.244	0.251	0.140	0.007	0.138	0.164	0.055
0.001	0.242	0.248	0.145	0.007	0.138	0.164	0.055
0.003	0.238	0.247	0.146	0.008	0.139	0.163	0.056
0.003	0.238	0.245	0.148	0.008	0.139	0.162	0.057
0.004	0.239	0.245	0.148	0.007	0.139	0.161	0.057
0.002	0.240	0.248	0.149	0.007	0.137	0.159	0.058
0.004	0.239	0.247	0.150	0.006	0.136	0.159	0.059
0.006	0.236	0.246	0.151	0.006	0.137	0.158	0.060
0.006	0.235	0.246	0.151	0.005	0.139	0.158	0.060
0.004	0.236	0.244	0.152	0.004	0.140	0.160	0.060
0.005	0.235	0.244	0.152	0.003	0.141	0.159	0.061
0.008	0.233	0.243	0.153	0.000	0.142	0.160	0.061
0.007	0.231	0.244	0.155	0.003	0.142	0.157	0.061
0.004	0.229	0.247	0.157	0.004	0.141	0.156	0.062
0.004	0.226	0.247	0.157	0.004	0.143	0.156	0.063
0.004	0.228	0.247	0.157	0.004	0.141	0.156	0.063
0.002	0.228	0.250	0.157	0.004	0.141	0.155	0.063
0.007	0.225	0.246	0.159	0.005	0.138	0.156	0.064
0.008	0.225	0.245	0.160	0.005	0.138	0.155	0.064
0.008	0.223	0.244	0.161	0.004	0.138	0.157	0.065
0.008	0.223	0.242	0.163	0.004	0.138	0.157	0.065
0.006	0.223	0.243	0.163	0.005	0.139	0.156	0.065
0.005	0.223	0.244	0.163	0.005	0.139	0.155	0.066
0.004	0.223	0.244	0.164	0.008	0.137	0.154	0.066
0.002	0.221	0.244	0.164	0.006	0.141	0.155	0.067
0.004	0.221	0.243	0.164	0.005	0.139	0.156	0.068
0.004	0.220	0.241	0.167	0.005	0.140	0.154	0.069
0.003	0.220	0.241	0.167	0.004	0.141	0.155	0.069
0.003	0.218	0.238	0.169	0.003	0.143	0.157	0.069
0.004	0.218	0.237	0.169	0.004	0.143	0.156	0.069
0.007	0.217	0.233	0.170	0.004	0.144	0.155	0.070
0.005	0.214	0.237	0.172	0.004	0.144	0.154	0.070
0.007	0.214	0.234	0.173	0.004	0.142	0.155	0.071
0.007	0.213	0.234	0.174	0.004	0.143	0.154	0.071
0.008	0.212	0.234	0.174	0.004	0.144	0.153	0.071
0.007	0.214	0.234	0.174	0.005	0.142	0.153	0.071
0.008	0.213	0.233	0.174	0.005	0.143	0.153	0.071
0.008	0.214	0.232	0.174	0.007	0.141	0.152	0.072
0.009	0.213	0.231	0.176	0.007	0.140	0.152	0.072
0.005	0.215	0.232	0.177	0.011	0.137	0.151	0.072
0.004	0.214	0.233	0.178	0.009	0.138	0.151	0.073
0.004	0.214	0.232	0.179	0.008	0.138	0.152	0.073
0.006	0.213	0.231	0.179	0.009	0.138	0.151	0.073
0.007	0.212	0.231	0.179	0.008	0.138	0.151	0.074
0.006	0.215	0.228	0.180	0.008	0.137	0.152	0.074
0.006	0.214	0.225	0.183	0.007	0.138	0.153	0.074
0.006	0.215	0.226	0.184	0.006	0.138	0.151	0.074
0.008	0.213	0.227	0.184	0.006	0.137	0.151	0.074
0.008	0.213	0.226	0.184	0.005	0.136	0.153	0.075
0.009	0.209	0.227	0.186	0.004	0.137	0.151	0.077
0.009	0.208	0.227	0.188	0.004	0.138	0.149	0.077
0.008	0.208	0.228	0.188	0.004	0.139	0.148	0.077
