# g=10	h=7	tend=25000	tinterval=2.0000
# X		index
1000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.797	0.069	0.066	0.000	0.062	0.003	0.003	0.000
0.672	0.106	0.108	0.000	0.095	0.012	0.007	0.000
0.569	0.151	0.135	0.001	0.109	0.019	0.016	0.000
0.484	0.184	0.160	0.001	0.115	0.028	0.028	0.000
0.421	0.209	0.187	0.001	0.115	0.035	0.032	0.000
0.363	0.230	0.206	0.001	0.118	0.043	0.038	0.001
0.310	0.250	0.228	0.001	0.113	0.052	0.045	0.001
0.261	0.272	0.245	0.005	0.104	0.062	0.050	0.001
0.223	0.283	0.261	0.005	0.098	0.071	0.058	0.001
0.191	0.302	0.270	0.006	0.091	0.078	0.061	0.001
0.155	0.313	0.287	0.006	0.089	0.084	0.065	0.001
0.139	0.318	0.289	0.006	0.081	0.095	0.071	0.001
0.121	0.320	0.297	0.009	0.075	0.101	0.076	0.001
0.103	0.330	0.300	0.010	0.067	0.106	0.083	0.001
0.093	0.326	0.305	0.010	0.060	0.115	0.090	0.001
0.077	0.329	0.313	0.011	0.055	0.118	0.094	0.003
0.074	0.328	0.316	0.011	0.048	0.118	0.102	0.003
0.065	0.331	0.319	0.012	0.043	0.122	0.104	0.004
0.057	0.334	0.322	0.012	0.037	0.126	0.108	0.004
0.052	0.333	0.324	0.015	0.036	0.128	0.108	0.004
0.049	0.335	0.325	0.016	0.027	0.134	0.110	0.004
0.048	0.337	0.327	0.016	0.024	0.132	0.111	0.005
0.042	0.338	0.328	0.016	0.024	0.136	0.111	0.005
0.039	0.338	0.328	0.018	0.021	0.138	0.113	0.005
0.035	0.338	0.332	0.019	0.018	0.140	0.112	0.006
0.028	0.341	0.335	0.020	0.017	0.140	0.113	0.006
0.022	0.343	0.339	0.020	0.016	0.141	0.113	0.006
0.022	0.345	0.335	0.021	0.015	0.141	0.115	0.006
0.022	0.343	0.333	0.022	0.013	0.143	0.118	0.006
0.022	0.342	0.332	0.024	0.013	0.143	0.118	0.006
0.021	0.340	0.331	0.026	0.014	0.143	0.119	0.006
0.019	0.342	0.329	0.028	0.013	0.141	0.121	0.007
0.017	0.343	0.326	0.032	0.012	0.142	0.120	0.008
0.015	0.341	0.324	0.035	0.013	0.143	0.120	0.009
0.016	0.342	0.324	0.036	0.010	0.144	0.119	0.009
0.012	0.340	0.324	0.037	0.011	0.145	0.120	0.011
0.011	0.338	0.323	0.039	0.012	0.144	0.119	0.014
0.009	0.341	0.323	0.040	0.013	0.140	0.120	0.014
0.011	0.337	0.323	0.044	0.012	0.139	0.120	0.014
0.008	0.334	0.324	0.046	0.012	0.140	0.121	0.015
0.008	0.334	0.323	0.045	0.011	0.141	0.121	0.017
0.008	0.332	0.321	0.046	0.010	0.144	0.121	0.018
0.007	0.331	0.320	0.046	0.007	0.146	0.125	0.018
0.008	0.330	0.319	0.046	0.008	0.146	0.125	0.018
0.011	0.328	0.314	0.047	0.007	0.147	0.128	0.018
0.008	0.328	0.314	0.047	0.008	0.146	0.130	0.019
0.009	0.328	0.311	0.049	0.009	0.145	0.130	0.019
0.010	0.324	0.311	0.050	0.008	0.148	0.129	0.020
0.012	0.321	0.306	0.054	0.007	0.150	0.130	0.020
0.012	0.320	0.303	0.056	0.007	0.151	0.131	0.020
0.010	0.321	0.302	0.055	0.011	0.151	0.129	0.021
0.011	0.320	0.302	0.056	0.011	0.151	0.128	0.021
0.012	0.320	0.303	0.056	0.010	0.150	0.127	0.022
0.010	0.321	0.303	0.056	0.010	0.150	0.126	0.024
0.007	0.323	0.302	0.057	0.009	0.149	0.129	0.024
0.006	0.321	0.301	0.057	0.008	0.153	0.130	0.024
0.008	0.320	0.297	0.058	0.006	0.156	0.129	0.026
0.010	0.319	0.295	0.059	0.004	0.156	0.131	0.026
0.008	0.320	0.295	0.059	0.005	0.154	0.132	0.027
0.009	0.321	0.293	0.059	0.006	0.153	0.132	0.027
0.012	0.319	0.290	0.062	0.006	0.153	0.131	0.027
0.009	0.319	0.290	0.063	0.008	0.154	0.130	0.027
0.009	0.317	0.291	0.064	0.006	0.153	0.132	0.028
0.010	0.312	0.290	0.066	0.005	0.157	0.132	0.028
0.008	0.311	0.291	0.068	0.006	0.156	0.132	0.028
0.008	0.308	0.291	0.073	0.004	0.157	0.131	0.028
0.009	0.306	0.288	0.076	0.005	0.158	0.130	0.028
0.011	0.306	0.285	0.077	0.007	0.157	0.127	0.030
0.011	0.306	0.285	0.077	0.006	0.158	0.127	0.030
0.013	0.305	0.282	0.079	0.005	0.158	0.128	0.030
0.014	0.300	0.282	0.082	0.005	0.157	0.128	0.032
0.014	0.300	0.280	0.083	0.006	0.156	0.129	0.032
0.012	0.299	0.279	0.085	0.007	0.157	0.129	0.032
0.011	0.297	0.278	0.088	0.008	0.157	0.129	0.032
0.011	0.294	0.275	0.092	0.006	0.160	0.130	0.032
0.008	0.293	0.276	0.093	0.006	0.159	0.130	0.035
