# g=10	h=7	tend=25000	tinterval=2.0000
# X		index
1000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.845	0.045	0.057	0.000	0.045	0.004	0.004	0.000
0.705	0.086	0.107	0.000	0.087	0.007	0.008	0.000
0.595	0.124	0.150	0.000	0.098	0.018	0.015	0.000
0.501	0.161	0.185	0.000	0.104	0.025	0.024	0.000
0.426	0.193	0.218	0.001	0.106	0.027	0.029	0.000
0.356	0.221	0.242	0.001	0.104	0.036	0.040	0.000
0.307	0.235	0.262	0.003	0.098	0.045	0.050	0.000
0.250	0.251	0.284	0.003	0.099	0.056	0.057	0.000
0.212	0.268	0.301	0.004	0.087	0.063	0.065	0.000
0.178	0.279	0.315	0.005	0.084	0.069	0.070	0.000
0.149	0.296	0.318	0.006	0.080	0.073	0.078	0.000
0.129	0.304	0.322	0.006	0.077	0.080	0.082	0.000
0.114	0.305	0.324	0.007	0.072	0.089	0.088	0.001
0.096	0.307	0.333	0.010	0.066	0.093	0.093	0.002
0.085	0.309	0.340	0.012	0.058	0.095	0.099	0.002
0.076	0.312	0.346	0.012	0.049	0.101	0.101	0.003
0.066	0.315	0.347	0.012	0.049	0.102	0.106	0.003
0.056	0.318	0.346	0.014	0.050	0.102	0.111	0.003
0.054	0.317	0.346	0.015	0.042	0.106	0.117	0.003
0.052	0.321	0.346	0.015	0.035	0.110	0.118	0.003
0.052	0.322	0.347	0.015	0.033	0.110	0.118	0.003
0.050	0.319	0.348	0.017	0.029	0.113	0.121	0.003
0.044	0.319	0.348	0.019	0.028	0.115	0.123	0.004
0.037	0.324	0.345	0.022	0.027	0.114	0.127	0.004
0.037	0.324	0.343	0.025	0.026	0.113	0.128	0.004
0.031	0.325	0.346	0.025	0.020	0.116	0.132	0.005
0.023	0.325	0.349	0.025	0.019	0.118	0.136	0.005
0.016	0.328	0.350	0.026	0.018	0.120	0.137	0.005
0.014	0.331	0.348	0.026	0.013	0.121	0.142	0.005
0.011	0.330	0.351	0.027	0.013	0.122	0.140	0.006
0.013	0.327	0.350	0.029	0.013	0.123	0.139	0.006
0.015	0.328	0.350	0.029	0.012	0.122	0.137	0.007
0.014	0.327	0.351	0.031	0.008	0.125	0.137	0.007
0.014	0.325	0.349	0.034	0.009	0.126	0.136	0.007
0.013	0.327	0.346	0.035	0.008	0.127	0.137	0.007
0.012	0.323	0.347	0.037	0.009	0.127	0.137	0.008
0.011	0.320	0.348	0.038	0.009	0.128	0.138	0.008
0.008	0.319	0.348	0.040	0.009	0.129	0.138	0.009
0.007	0.319	0.349	0.041	0.008	0.129	0.137	0.010
0.009	0.317	0.347	0.041	0.007	0.132	0.136	0.011
0.008	0.316	0.345	0.043	0.009	0.129	0.138	0.012
0.006	0.316	0.345	0.045	0.009	0.127	0.139	0.013
0.009	0.312	0.345	0.047	0.006	0.129	0.139	0.013
0.009	0.312	0.345	0.048	0.005	0.130	0.138	0.013
0.011	0.313	0.343	0.048	0.002	0.130	0.140	0.013
0.014	0.310	0.340	0.050	0.004	0.130	0.139	0.013
0.011	0.310	0.339	0.051	0.007	0.130	0.138	0.014
0.010	0.309	0.338	0.053	0.008	0.128	0.138	0.016
0.008	0.310	0.337	0.053	0.008	0.129	0.139	0.016
0.006	0.309	0.336	0.055	0.008	0.131	0.139	0.016
0.006	0.310	0.338	0.055	0.007	0.129	0.138	0.017
0.007	0.307	0.336	0.055	0.008	0.131	0.138	0.018
0.006	0.307	0.335	0.055	0.008	0.133	0.137	0.019
0.007	0.308	0.335	0.055	0.006	0.132	0.138	0.019
0.009	0.308	0.334	0.056	0.004	0.130	0.138	0.021
0.008	0.307	0.332	0.057	0.006	0.130	0.139	0.021
0.009	0.306	0.331	0.058	0.006	0.131	0.138	0.021
0.009	0.307	0.323	0.064	0.008	0.130	0.136	0.023
0.009	0.304	0.323	0.067	0.009	0.129	0.136	0.023
0.009	0.301	0.323	0.070	0.008	0.129	0.136	0.024
0.008	0.300	0.319	0.072	0.008	0.129	0.140	0.024
0.011	0.298	0.317	0.072	0.006	0.130	0.141	0.025
0.011	0.295	0.318	0.073	0.005	0.130	0.143	0.025
0.011	0.293	0.316	0.074	0.006	0.131	0.144	0.025
0.012	0.290	0.317	0.075	0.007	0.130	0.143	0.026
0.010	0.288	0.314	0.078	0.007	0.131	0.145	0.027
0.009	0.289	0.310	0.079	0.007	0.130	0.148	0.028
0.011	0.286	0.309	0.080	0.006	0.131	0.149	0.028
0.008	0.287	0.307	0.080	0.007	0.130	0.152	0.029
0.008	0.289	0.305	0.081	0.006	0.129	0.153	0.029
0.006	0.288	0.308	0.082	0.005	0.131	0.151	0.029
0.005	0.288	0.307	0.084	0.007	0.130	0.150	0.029
0.006	0.287	0.306	0.084	0.006	0.131	0.151	0.029
0.008	0.286	0.306	0.085	0.003	0.131	0.152	0.029
0.011	0.282	0.306	0.086	0.002	0.132	0.151	0.030
0.011	0.283	0.305	0.088	0.001	0.133	0.150	0.029
0.010	0.281	0.305	0.090	0.002	0.132	0.150	0.030
0.011	0.281	0.303	0.090	0.002	0.132	0.151	0.030
0.009	0.280	0.303	0.092	0.003	0.132	0.151	0.030
0.009	0.278	0.304	0.093	0.004	0.133	0.149	0.030
0.008	0.279	0.303	0.094	0.004	0.133	0.147	0.032
0.009	0.279	0.304	0.094	0.004	0.133	0.145	0.032
0.007	0.278	0.304	0.094	0.005	0.135	0.144	0.033
0.008	0.277	0.301	0.096	0.004	0.135	0.145	0.034
0.009	0.274	0.299	0.100	0.004	0.135	0.145	0.034
0.008	0.275	0.299	0.100	0.004	0.133	0.146	0.035
0.012	0.276	0.294	0.102	0.004	0.132	0.145	0.035
0.012	0.275	0.292	0.103	0.005	0.132	0.145	0.036
0.010	0.274	0.293	0.104	0.007	0.130	0.143	0.039
0.010	0.276	0.290	0.106	0.005	0.130	0.144	0.039
0.009	0.273	0.290	0.109	0.005	0.131	0.144	0.039
0.009	0.271	0.289	0.111	0.003	0.130	0.147	0.040
0.009	0.269	0.289	0.111	0.003	0.132	0.147	0.040
0.010	0.269	0.289	0.111	0.002	0.132	0.147	0.040
0.008	0.271	0.288	0.111	0.003	0.131	0.147	0.041
0.008	0.267	0.288	0.112	0.003	0.134	0.147	0.041
0.007	0.267	0.289	0.113	0.004	0.134	0.145	0.041
0.007	0.268	0.287	0.113	0.002	0.132	0.148	0.043
0.005	0.267	0.285	0.113	0.004	0.133	0.150	0.043
0.005	0.267	0.284	0.115	0.003	0.131	0.151	0.044
0.006	0.264	0.284	0.116	0.004	0.132	0.150	0.044
0.004	0.265	0.284	0.116	0.003	0.131	0.152	0.045
0.005	0.265	0.283	0.117	0.003	0.130	0.152	0.045
0.009	0.262	0.282	0.118	0.003	0.130	0.151	0.045
0.007	0.265	0.283	0.117	0.003	0.129	0.150	0.046
0.009	0.264	0.282	0.117	0.002	0.130	0.150	0.046
0.011	0.261	0.279	0.118	0.003	0.129	0.152	0.047
0.008	0.261	0.280	0.118	0.004	0.131	0.151	0.047
0.006	0.261	0.280	0.118	0.005	0.131	0.152	0.047
0.007	0.260	0.278	0.119	0.005	0.131	0.151	0.049
0.006	0.259	0.276	0.121	0.007	0.132	0.150	0.049
0.007	0.257	0.275	0.121	0.006	0.133	0.152	0.049
0.007	0.258	0.275	0.121	0.005	0.133	0.152	0.049
0.011	0.253	0.275	0.121	0.002	0.136	0.153	0.049
0.010	0.250	0.276	0.122	0.002	0.137	0.153	0.050
0.011	0.246	0.276	0.123	0.004	0.138	0.152	0.050
0.012	0.243	0.274	0.126	0.005	0.138	0.151	0.051
0.012	0.243	0.273	0.127	0.004	0.139	0.151	0.051
0.014	0.242	0.271	0.128	0.004	0.139	0.151	0.051
0.013	0.242	0.271	0.128	0.006	0.137	0.151	0.052
0.014	0.242	0.267	0.130	0.006	0.137	0.151	0.053
0.013	0.242	0.267	0.131	0.005	0.138	0.150	0.054
0.010	0.242	0.267	0.131	0.007	0.139	0.150	0.054
0.008	0.240	0.267	0.131	0.007	0.141	0.152	0.054
0.008	0.240	0.267	0.132	0.007	0.142	0.150	0.054
0.007	0.242	0.265	0.134	0.007	0.141	0.149	0.055
0.012	0.239	0.265	0.135	0.003	0.142	0.148	0.056
0.011	0.240	0.265	0.137	0.002	0.141	0.146	0.058
0.010	0.241	0.265	0.137	0.006	0.141	0.142	0.058
0.008	0.241	0.265	0.137	0.007	0.141	0.143	0.058
0.009	0.240	0.262	0.138	0.008	0.141	0.144	0.058
0.008	0.238	0.262	0.141	0.007	0.143	0.142	0.059
0.006	0.239	0.262	0.142	0.006	0.143	0.143	0.059
0.009	0.237	0.260	0.143	0.005	0.142	0.145	0.059
0.007	0.236	0.256	0.146	0.006	0.142	0.148	0.059
0.007	0.236	0.256	0.147	0.006	0.142	0.147	0.059
0.007	0.236	0.255	0.148	0.007	0.142	0.146	0.059
0.006	0.237	0.254	0.148	0.006	0.141	0.148	0.060
0.006	0.235	0.252	0.149	0.008	0.141	0.148	0.061
0.006	0.233	0.253	0.150	0.008	0.142	0.147	0.061
0.005	0.232	0.250	0.152	0.007	0.144	0.149	0.061
0.004	0.233	0.251	0.152	0.007	0.144	0.148	0.061
0.003	0.235	0.250	0.153	0.008	0.141	0.148	0.062
0.005	0.234	0.250	0.153	0.007	0.141	0.148	0.062
0.006	0.230	0.250	0.153	0.008	0.144	0.147	0.062
0.007	0.227	0.251	0.155	0.007	0.145	0.146	0.062
0.008	0.225	0.249	0.156	0.005	0.148	0.147	0.062
0.009	0.224	0.245	0.159	0.006	0.148	0.147	0.062
0.009	0.224	0.243	0.159	0.008	0.149	0.146	0.062
0.009	0.222	0.243	0.159	0.007	0.150	0.148	0.062
0.007	0.223	0.240	0.164	0.008	0.148	0.148	0.062
0.007	0.222	0.238	0.165	0.008	0.148	0.149	0.063
0.006	0.220	0.241	0.166	0.007	0.148	0.149	0.063
0.006	0.220	0.241	0.166	0.008	0.147	0.149	0.063
0.005	0.218	0.241	0.168	0.006	0.149	0.149	0.064
0.004	0.216	0.241	0.169	0.006	0.151	0.149	0.064
0.005	0.214	0.240	0.170	0.007	0.151	0.148	0.065
0.007	0.212	0.238	0.171	0.006	0.150	0.150	0.066
0.007	0.212	0.237	0.171	0.006	0.148	0.152	0.067
0.007	0.211	0.238	0.171	0.005	0.150	0.151	0.067
0.009	0.206	0.237	0.173	0.003	0.152	0.153	0.067
0.007	0.208	0.234	0.174	0.004	0.152	0.154	0.067
0.004	0.209	0.235	0.174	0.004	0.152	0.154	0.068
0.004	0.208	0.235	0.175	0.004	0.150	0.155	0.069
0.004	0.207	0.235	0.175	0.004	0.151	0.155	0.069
0.005	0.206	0.234	0.176	0.005	0.151	0.153	0.070
0.005	0.208	0.234	0.176	0.004	0.149	0.154	0.070
0.004	0.208	0.236	0.176	0.003	0.149	0.154	0.070
0.005	0.206	0.236	0.178	0.002	0.150	0.153	0.070
0.006	0.206	0.233	0.178	0.003	0.150	0.152	0.072
0.006	0.207	0.232	0.178	0.003	0.149	0.153	0.072
0.006	0.206	0.233	0.179	0.002	0.148	0.153	0.073
0.007	0.204	0.232	0.181	0.002	0.148	0.153	0.073
0.006	0.204	0.234	0.181	0.003	0.147	0.151	0.074
0.006	0.203	0.233	0.182	0.002	0.148	0.152	0.074
0.007	0.202	0.232	0.182	0.001	0.149	0.153	0.074
0.004	0.201	0.231	0.184	0.002	0.149	0.155	0.074
0.003	0.201	0.233	0.184	0.003	0.149	0.152	0.075
0.003	0.200	0.231	0.185	0.004	0.148	0.154	0.075
0.004	0.199	0.230	0.185	0.004	0.149	0.154	0.075
0.007	0.199	0.227	0.185	0.004	0.149	0.154	0.075
0.007	0.199	0.226	0.186	0.005	0.148	0.154	0.075
0.006	0.199	0.227	0.187	0.005	0.148	0.153	0.075
0.005	0.197	0.227	0.189	0.007	0.148	0.152	0.075
0.005	0.196	0.229	0.189	0.007	0.149	0.150	0.075
0.007	0.196	0.228	0.189	0.005	0.149	0.151	0.075
0.007	0.197	0.228	0.189	0.005	0.149	0.150	0.075
0.009	0.195	0.226	0.191	0.006	0.148	0.150	0.075
0.008	0.196	0.226	0.192	0.007	0.148	0.148	0.075
0.006	0.197	0.226	0.192	0.008	0.147	0.148	0.076
0.008	0.196	0.224	0.193	0.009	0.147	0.147	0.076
0.009	0.195	0.225	0.193	0.009	0.147	0.145	0.077
0.010	0.195	0.223	0.194	0.009	0.147	0.145	0.077
0.009	0.196	0.223	0.194	0.010	0.144	0.145	0.079
0.010	0.194	0.224	0.195	0.005	0.147	0.145	0.080
0.010	0.195	0.222	0.196	0.005	0.146	0.144	0.082
0.008	0.196	0.223	0.196	0.005	0.147	0.143	0.082
0.009	0.196	0.219	0.198	0.005	0.147	0.144	0.082
0.008	0.195	0.219	0.200	0.004	0.148	0.144	0.082
0.008	0.195	0.217	0.202	0.004	0.147	0.145	0.082
0.009	0.194	0.215	0.204	0.003	0.148	0.146	0.081
0.008	0.195	0.215	0.204	0.002	0.148	0.146	0.082
0.009	0.196	0.214	0.205	0.002	0.146	0.145	0.083
0.007	0.196	0.214	0.205	0.004	0.145	0.145	0.084
0.009	0.193	0.214	0.205	0.004	0.146	0.145	0.084
0.009	0.193	0.215	0.204	0.004	0.146	0.145	0.084
0.009	0.193	0.214	0.204	0.004	0.146	0.145	0.085
0.009	0.191	0.212	0.205	0.004	0.147	0.146	0.086
0.007	0.192	0.212	0.205	0.006	0.147	0.144	0.087
0.006	0.191	0.211	0.206	0.007	0.149	0.143	0.087
0.006	0.192	0.210	0.207	0.007	0.148	0.143	0.087
0.008	0.191	0.209	0.207	0.006	0.148	0.143	0.088
0.008	0.192	0.209	0.207	0.008	0.146	0.141	0.089
0.007	0.192	0.208	0.208	0.007	0.147	0.141	0.090
0.006	0.193	0.207	0.209	0.007	0.147	0.141	0.090
0.005	0.193	0.206	0.211	0.006	0.146	0.143	0.090
0.005	0.196	0.206	0.211	0.004	0.145	0.143	0.090
0.006	0.197	0.205	0.212	0.003	0.144	0.143	0.090
0.004	0.195	0.206	0.213	0.004	0.145	0.143	0.090
0.003	0.195	0.207	0.213	0.006	0.145	0.141	0.090
0.004	0.195	0.205	0.214	0.005	0.144	0.141	0.092
0.004	0.194	0.205	0.215	0.004	0.144	0.142	0.092
0.004	0.194	0.206	0.216	0.004	0.143	0.140	0.093
0.006	0.194	0.204	0.216	0.004	0.143	0.140	0.093
0.007	0.193	0.203	0.218	0.003	0.142	0.140	0.094
0.008	0.192	0.200	0.221	0.003	0.142	0.139	0.095
0.009	0.187	0.198	0.222	0.003	0.144	0.139	0.098
0.010	0.186	0.197	0.223	0.003	0.144	0.137	0.100
0.007	0.186	0.197	0.223	0.007	0.142	0.137	0.101
0.006	0.185	0.197	0.223	0.007	0.143	0.138	0.101
0.003	0.187	0.199	0.224	0.008	0.140	0.137	0.102
0.002	0.188	0.198	0.225	0.009	0.139	0.136	0.103
0.003	0.189	0.196	0.226	0.006	0.139	0.137	0.104
0.007	0.186	0.194	0.227	0.004	0.141	0.138	0.103
0.007	0.186	0.195	0.228	0.004	0.139	0.137	0.104
0.006	0.186	0.191	0.231	0.004	0.140	0.137	0.105
0.007	0.186	0.192	0.231	0.004	0.139	0.135	0.106
0.010	0.185	0.188	0.233	0.002	0.140	0.136	0.106
0.010	0.186	0.187	0.234	0.004	0.137	0.134	0.108
0.008	0.187	0.188	0.234	0.005	0.137	0.133	0.108
0.008	0.187	0.187	0.234	0.005	0.137	0.133	0.109
0.007	0.188	0.188	0.234	0.004	0.136	0.134	0.109
0.004	0.190	0.187	0.234	0.006	0.136	0.134	0.109
0.001	0.190	0.186	0.236	0.005	0.137	0.136	0.109
0.001	0.189	0.185	0.239	0.004	0.135	0.135	0.112
0.002	0.188	0.185	0.240	0.003	0.136	0.134	0.112
0.003	0.190	0.184	0.241	0.003	0.133	0.134	0.112
0.006	0.189	0.183	0.241	0.002	0.132	0.133	0.114
0.006	0.188	0.182	0.242	0.002	0.132	0.134	0.114
0.004	0.188	0.183	0.243	0.001	0.132	0.135	0.114
0.004	0.188	0.183	0.243	0.001	0.129	0.135	0.117
0.006	0.187	0.182	0.243	0.001	0.128	0.135	0.118
0.005	0.184	0.182	0.245	0.002	0.128	0.136	0.118
0.006	0.183	0.182	0.246	0.002	0.127	0.136	0.118
0.004	0.185	0.183	0.246	0.002	0.127	0.135	0.118
0.006	0.182	0.182	0.245	0.003	0.128	0.135	0.119
0.006	0.183	0.182	0.245	0.002	0.128	0.135	0.119
0.005	0.183	0.182	0.247	0.000	0.127	0.135	0.121
0.006	0.183	0.180	0.248	0.000	0.127	0.135	0.121
0.007	0.184	0.180	0.248	0.002	0.125	0.133	0.121
0.006	0.182	0.178	0.253	0.004	0.125	0.131	0.121
0.011	0.179	0.175	0.253	0.004	0.125	0.132	0.121
0.008	0.179	0.175	0.253	0.007	0.124	0.132	0.122
0.007	0.180	0.173	0.254	0.008	0.124	0.132	0.122
0.006	0.179	0.172	0.255	0.007	0.126	0.133	0.122
0.007	0.178	0.173	0.255	0.005	0.128	0.130	0.124
0.009	0.177	0.173	0.255	0.004	0.127	0.130	0.125
0.009	0.178	0.170	0.256	0.005	0.128	0.129	0.125
0.009	0.176	0.171	0.257	0.005	0.128	0.129	0.125
0.008	0.175	0.172	0.257	0.006	0.128	0.129	0.125
0.009	0.174	0.171	0.257	0.008	0.128	0.128	0.125
0.010	0.171	0.170	0.259	0.010	0.127	0.128	0.125
0.008	0.170	0.172	0.259	0.006	0.128	0.131	0.126
0.006	0.169	0.172	0.259	0.008	0.129	0.131	0.126
0.006	0.167	0.173	0.261	0.007	0.130	0.128	0.128
0.007	0.167	0.171	0.261	0.005	0.131	0.130	0.128
0.006	0.168	0.172	0.261	0.005	0.131	0.128	0.129
0.008	0.167	0.171	0.262	0.004	0.131	0.128	0.129
0.006	0.166	0.172	0.264	0.003	0.131	0.130	0.128
0.006	0.166	0.172	0.266	0.002	0.128	0.130	0.130
