# g=10	h=7	tend=25000	tinterval=2.0000
# X		index
1000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.820	0.067	0.052	0.000	0.057	0.002	0.002	0.000
0.674	0.121	0.099	0.001	0.089	0.007	0.009	0.000
0.575	0.159	0.133	0.001	0.102	0.015	0.014	0.001
0.481	0.191	0.171	0.003	0.109	0.023	0.020	0.002
0.408	0.215	0.195	0.003	0.118	0.027	0.032	0.002
0.359	0.234	0.215	0.003	0.113	0.031	0.043	0.002
0.299	0.252	0.237	0.004	0.116	0.037	0.053	0.002
0.256	0.266	0.253	0.004	0.114	0.042	0.063	0.002
0.218	0.278	0.272	0.006	0.104	0.049	0.071	0.002
0.170	0.297	0.289	0.007	0.104	0.053	0.077	0.003
0.149	0.304	0.294	0.008	0.097	0.061	0.084	0.003
0.132	0.308	0.308	0.009	0.085	0.069	0.086	0.003
0.113	0.315	0.313	0.012	0.080	0.074	0.090	0.003
0.101	0.322	0.318	0.013	0.070	0.077	0.096	0.003
0.091	0.328	0.323	0.014	0.065	0.076	0.099	0.004
0.083	0.330	0.326	0.017	0.058	0.081	0.101	0.004
0.070	0.331	0.335	0.019	0.053	0.082	0.105	0.005
0.066	0.331	0.334	0.021	0.046	0.087	0.109	0.006
0.062	0.332	0.337	0.021	0.039	0.091	0.111	0.007
0.057	0.336	0.340	0.021	0.034	0.092	0.113	0.007
0.049	0.336	0.340	0.023	0.034	0.096	0.114	0.008
0.045	0.336	0.343	0.024	0.029	0.097	0.117	0.009
0.044	0.337	0.342	0.025	0.024	0.099	0.120	0.009
0.037	0.340	0.346	0.025	0.020	0.101	0.121	0.010
0.032	0.340	0.350	0.026	0.015	0.103	0.124	0.010
0.027	0.341	0.349	0.026	0.018	0.104	0.125	0.010
0.025	0.339	0.351	0.027	0.018	0.107	0.123	0.010
0.021	0.339	0.351	0.028	0.020	0.107	0.124	0.010
0.020	0.336	0.350	0.030	0.019	0.109	0.126	0.010
0.019	0.334	0.352	0.032	0.015	0.111	0.126	0.011
0.016	0.329	0.351	0.036	0.014	0.116	0.127	0.011
0.015	0.328	0.349	0.038	0.011	0.119	0.129	0.011
0.013	0.328	0.347	0.039	0.011	0.120	0.131	0.011
0.014	0.325	0.346	0.041	0.012	0.120	0.131	0.011
0.014	0.323	0.344	0.045	0.012	0.120	0.131	0.011
0.013	0.320	0.343	0.050	0.012	0.120	0.130	0.012
0.015	0.320	0.341	0.050	0.011	0.120	0.131	0.012
0.012	0.321	0.341	0.050	0.011	0.122	0.130	0.013
0.015	0.318	0.336	0.052	0.011	0.123	0.131	0.014
0.013	0.318	0.336	0.052	0.012	0.121	0.131	0.017
0.011	0.317	0.334	0.055	0.014	0.121	0.131	0.017
0.009	0.317	0.334	0.057	0.013	0.119	0.134	0.017
0.007	0.317	0.336	0.058	0.008	0.120	0.137	0.017
0.004	0.319	0.338	0.058	0.007	0.120	0.137	0.017
0.004	0.316	0.339	0.061	0.005	0.119	0.137	0.019
