# g=10	h=7	tend=25000	tinterval=2.0000
# X		index
1000.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.840	0.054	0.051	0.001	0.052	0.002	0.000	0.000
0.689	0.097	0.099	0.001	0.104	0.006	0.004	0.000
0.565	0.132	0.140	0.002	0.131	0.020	0.010	0.000
0.472	0.167	0.160	0.003	0.150	0.028	0.020	0.000
0.406	0.194	0.186	0.003	0.139	0.039	0.033	0.000
0.347	0.224	0.209	0.004	0.121	0.048	0.047	0.000
0.296	0.243	0.227	0.006	0.112	0.056	0.060	0.000
0.242	0.265	0.241	0.007	0.116	0.064	0.065	0.000
0.216	0.280	0.252	0.007	0.100	0.072	0.072	0.001
0.177	0.299	0.259	0.008	0.101	0.079	0.076	0.001
0.153	0.308	0.265	0.012	0.089	0.088	0.084	0.001
0.140	0.313	0.268	0.013	0.076	0.096	0.093	0.001
0.127	0.318	0.278	0.015	0.064	0.100	0.097	0.001
0.117	0.320	0.281	0.016	0.059	0.106	0.100	0.001
0.102	0.325	0.283	0.019	0.051	0.113	0.106	0.001
0.083	0.333	0.287	0.021	0.052	0.113	0.109	0.002
0.074	0.336	0.291	0.022	0.050	0.114	0.110	0.003
0.061	0.340	0.296	0.023	0.045	0.119	0.113	0.003
0.057	0.340	0.298	0.025	0.039	0.120	0.117	0.004
0.052	0.339	0.299	0.028	0.038	0.120	0.120	0.004
0.046	0.342	0.303	0.029	0.032	0.122	0.122	0.004
0.042	0.341	0.305	0.030	0.026	0.129	0.123	0.004
0.036	0.343	0.306	0.031	0.025	0.129	0.126	0.004
0.029	0.344	0.310	0.033	0.027	0.128	0.124	0.005
0.025	0.344	0.308	0.035	0.027	0.132	0.124	0.005
0.024	0.342	0.304	0.038	0.025	0.135	0.127	0.005
0.019	0.343	0.304	0.040	0.023	0.135	0.130	0.006
0.017	0.343	0.305	0.040	0.023	0.135	0.129	0.008
0.014	0.343	0.304	0.041	0.024	0.136	0.130	0.008
0.013	0.338	0.305	0.042	0.019	0.142	0.133	0.008
0.015	0.336	0.301	0.046	0.018	0.142	0.133	0.009
0.012	0.333	0.301	0.046	0.019	0.145	0.135	0.009
0.009	0.334	0.298	0.050	0.017	0.145	0.138	0.009
0.011	0.334	0.297	0.050	0.013	0.145	0.139	0.011
0.008	0.334	0.294	0.051	0.013	0.147	0.142	0.011
